Channel,Energy (keV),CTS,Net CR,
1,0.2522,0,0,0
2,0.5287,0,0,0
3,0.8052,0,0,0
4,1.0817,0,0,0
5,1.3582,0,0,0
6,1.6347,0,0,0
7,1.9112,0,0,0
8,2.1877,0,0,0
9,2.4642,0,0,0
10,2.7407,0,0,0
11,3.0172,0,0,0
12,3.2937,0,0,0
13,3.5702,0,0,0
14,3.8467,0,0,0
15,4.1232,0,0,0
16,4.3997,0,0,0
17,4.6762,0,0,0
18,4.9527,0,0,0
19,5.2292,0,0,0
20,5.5057,0,0,0
21,5.7822,0,0,0
22,6.0587,0,0,0
23,6.3352,0,0,0
24,6.6117,0,0,0
25,6.8882,0,0,0
26,7.1647,0,0,0
27,7.4412,0,0,0
28,7.7177,0,0,0
29,7.9942,0,0,0
30,8.2707,0,0,0
31,8.5472,0,0,0
32,8.8237,0,0,0
33,9.1002,0,0,0
34,9.3767,0,0,0
35,9.6532,26,0.043333333,0.008498366
36,9.9297,274,0.454444444,0.027593835
37,10.2062,383,0.592083333,0.032715631
38,10.4827,388,0.592777778,0.03294332
39,10.7592,398,0.620972222,0.033338252
40,11.0357,378,0.585416667,0.03249911
41,11.3122,350,0.540555556,0.031275607
42,11.5887,365,0.565,0.031935989
43,11.8652,348,0.537638889,0.031185736
44,12.1417,372,0.5775,0.032237185
45,12.4182,340,0.527083333,0.030821131
46,12.6947,343,0.529027778,0.030962879
47,12.9712,341,0.532083333,0.030858661
48,13.2477,374,0.582083333,0.032320552
49,13.5242,340,0.527222222,0.030820818
50,13.8007,332,0.511666667,0.030463244
51,14.0772,329,0.507916667,0.030323297
52,14.3537,325,0.500277778,0.030141769
53,14.6302,348,0.541388889,0.031177385
54,14.9067,350,0.543472222,0.03126913
55,15.1832,327,0.500416667,0.030241122
56,15.4597,332,0.513194444,0.030459761
57,15.7362,316,0.487361111,0.029719302
58,16.0127,300,0.457083333,0.028970571
59,16.2892,299,0.456111111,0.028920922
60,16.5657,309,0.468472222,0.029407406
61,16.8422,318,0.486666667,0.029822003
62,17.1187,311,0.470833333,0.029504002
63,17.3952,341,0.523888889,0.030877096
64,17.6717,325,0.496944444,0.030149448
65,17.9482,321,0.489583333,0.029966223
66,18.2247,287,0.427361111,0.028360213
67,18.5012,273,0.39875,0.027679339
68,18.7777,319,0.476527778,0.029895974
69,19.0542,316,0.475277778,0.029747523
70,19.3307,318,0.481666667,0.029833644
71,19.6072,345,0.521666667,0.031076369
72,19.8837,269,0.399861111,0.027458231
73,20.1602,294,0.453888889,0.028664998
74,20.4367,295,0.453055556,0.028719455
75,20.7132,287,0.442083333,0.028324141
76,20.9897,267,0.412083333,0.027317365
77,21.2662,263,0.402638889,0.027120345
78,21.5427,274,0.416111111,0.02769014
79,21.8192,269,0.410555556,0.027431171
80,22.0957,299,0.450833333,0.028933593
81,22.3722,287,0.432083333,0.028348648
82,22.6487,246,0.362222222,0.026267264
83,22.9252,270,0.403055556,0.02750491
84,23.2017,267,0.40875,0.027325837
85,23.4782,289,0.453472222,0.028402353
86,23.7547,289,0.457916667,0.028391484
87,24.0312,263,0.418888889,0.027078703
88,24.3077,262,0.414027778,0.02703557
89,24.5842,279,0.44125,0.027898004
90,24.8607,264,0.422777778,0.027124257
91,25.1372,235,0.372361111,0.025601936
92,25.4137,245,0.388333333,0.026140645
93,25.6902,308,0.491666667,0.029301277
94,25.9667,249,0.398194444,0.026343894
95,26.2432,292,0.465833333,0.028530766
96,26.5197,263,0.416527778,0.027084758
97,26.7962,261,0.417361111,0.026971278
98,27.0727,261,0.415833333,0.026975212
99,27.3492,276,0.441666667,0.027734689
100,27.6257,244,0.385555556,0.026090417
101,27.9022,258,0.410972222,0.026819944
102,28.1787,255,0.403888889,0.02666956
103,28.4552,237,0.376944444,0.025706829
104,28.7317,291,0.464722222,0.02848069
105,29.0082,262,0.415694444,0.027031289
106,29.2847,248,0.394722222,0.026295889
107,29.5612,226,0.357638889,0.025108176
108,29.8377,276,0.443611111,0.02772982
109,30.1142,236,0.376666667,0.025648984
110,30.3907,239,0.381388889,0.02581167
111,30.6672,244,0.389722222,0.026079325
112,30.9437,240,0.380555556,0.025872133
113,31.2202,252,0.400972222,0.026507409
114,31.4967,214,0.339861111,0.024429051
115,31.7732,232,0.369027778,0.025434117
116,32.0497,235,0.374027778,0.025597414
117,32.3262,245,0.391944444,0.02613105
118,32.6027,257,0.408333333,0.026770631
119,32.8792,215,0.340277778,0.024489384
120,33.1557,237,0.376111111,0.02570908
121,33.4322,236,0.378888889,0.025642966
122,33.7087,256,0.411388889,0.026706423
123,33.9852,250,0.400416667,0.026395102
124,34.2617,244,0.388472222,0.026082653
125,34.5382,235,0.374861111,0.025595154
126,34.8147,236,0.374861111,0.025653872
127,35.0912,252,0.400833333,0.026507773
128,35.3677,231,0.3675,0.025379071
129,35.6442,235,0.374444444,0.025596284
130,35.9207,243,0.384861111,0.026034536
131,36.1972,247,0.395277778,0.026237137
132,36.4737,227,0.359861111,0.025161899
133,36.7502,232,0.369166667,0.025433737
134,37.0267,234,0.375,0.025535922
135,37.3032,256,0.409861111,0.026710395
136,37.5797,228,0.365694444,0.025205559
137,37.8562,239,0.382916667,0.025807559
138,38.1327,206,0.326388889,0.023970307
139,38.4092,234,0.373472222,0.025540077
140,38.6857,201,0.317222222,0.023681268
141,38.9622,236,0.377361111,0.025647104
142,39.2387,215,0.340694444,0.024488203
143,39.5152,254,0.409861111,0.026597494
144,39.7917,226,0.361666667,0.025097034
145,40.0682,227,0.359305556,0.025163432
146,40.3447,199,0.316111111,0.023557128
147,40.6212,219,0.350833333,0.024704269
148,40.8977,203,0.324166667,0.023787738
149,41.1742,225,0.360138889,0.025041247
150,41.4507,236,0.380138889,0.025639581
151,41.7272,235,0.374444444,0.025596284
152,42.0037,232,0.372777778,0.025423876
153,42.2802,219,0.350277778,0.024705831
154,42.5567,237,0.380833333,0.025696321
155,42.8332,214,0.344444444,0.024416019
156,43.1097,224,0.358472222,0.024985721
157,43.3862,209,0.331111111,0.024144306
158,43.6627,220,0.35,0.024767437
159,43.9392,231,0.370694444,0.025370328
160,44.2157,227,0.362083333,0.025155765
161,44.4922,219,0.350416667,0.024705441
162,44.7687,221,0.354861111,0.024814513
163,45.0452,218,0.349166667,0.024647985
164,45.3217,233,0.372916667,0.02548261
165,45.5982,233,0.372361111,0.025484124
166,45.8747,180,0.285277778,0.022406355
167,46.1512,208,0.329444444,0.024086713
168,46.4277,212,0.340555556,0.024303571
169,46.7042,217,0.34625,0.024595101
170,46.9807,226,0.360416667,0.025100492
171,47.2572,239,0.384861111,0.025802326
172,47.5337,213,0.337222222,0.024374901
173,47.8102,205,0.32625,0.023907857
174,48.0867,192,0.306944444,0.023133236
175,48.3632,228,0.365416667,0.025206325
176,48.6397,222,0.356527778,0.02487042
177,48.9162,229,0.365555556,0.025265565
178,49.1927,210,0.336944444,0.024189804
179,49.4692,219,0.348472222,0.024710906
180,49.7457,215,0.342083333,0.024484264
181,50.0222,215,0.345277778,0.024475202
182,50.2987,214,0.33875,0.02443221
183,50.5752,223,0.358611111,0.024925042
184,50.8517,203,0.32375,0.023788954
185,51.1282,236,0.378055556,0.025645223
186,51.4047,209,0.334861111,0.024133518
