Channel,Energy (keV),CTS,Net CR,
1,0.2522,0,0,0
2,0.5287,0,0,0
3,0.8052,0,0,0
4,1.0817,0,0,0
5,1.3582,0,0,0
6,1.6347,0,0,0
7,1.9112,0,0,0
8,2.1877,0,0,0
9,2.4642,0,0,0
10,2.7407,0,0,0
11,3.0172,0,0,0
12,3.2937,0,0,0
13,3.5702,0,0,0
14,3.8467,0,0,0
15,4.1232,0,0,0
16,4.3997,0,0,0
17,4.6762,0,0,0
18,4.9527,0,0,0
19,5.2292,0,0,0
20,5.5057,0,0,0
21,5.7822,0,0,0
22,6.0587,0,0,0
23,6.3352,0,0,0
24,6.6117,0,0,0
25,6.8882,0,0,0
26,7.1647,0,0,0
27,7.4412,0,0,0
28,7.7177,0,0,0
29,7.9942,0,0,0
30,8.2707,0,0,0
31,8.5472,0,0,0
32,8.8237,0,0,0
33,9.1002,0,0,0
34,9.3767,0,0,0
35,9.6532,31,0.051666667,0.009279607
36,9.9297,307,0.509444444,0.029207643
37,10.2062,424,0.660416667,0.034412227
38,10.4827,435,0.671111111,0.03486858
39,10.7592,385,0.599305556,0.032792193
40,11.0357,398,0.61875,0.033342881
41,11.3122,398,0.620555556,0.03333912
42,11.5887,381,0.591666667,0.032624406
43,11.8652,358,0.554305556,0.031627961
44,12.1417,390,0.6075,0.033003577
45,12.4182,350,0.54375,0.031268513
46,12.6947,408,0.637361111,0.033752858
47,12.9712,358,0.560416667,0.03161454
48,13.2477,368,0.572083333,0.032061681
49,13.5242,354,0.550555556,0.031445377
50,13.8007,310,0.475,0.029443134
51,14.0772,350,0.542916667,0.031270364
52,14.3537,360,0.558611111,0.031713537
53,14.6302,359,0.559722222,0.031663621
54,14.9067,337,0.521805556,0.030686273
55,15.1832,335,0.51375,0.030606334
56,15.4597,347,0.538194444,0.031136213
57,15.7362,344,0.534027778,0.031000236
58,16.0127,359,0.555416667,0.031673062
59,16.2892,361,0.559444444,0.031759124
60,16.5657,345,0.528472222,0.031061158
61,16.8422,336,0.516666667,0.030648847
62,17.1187,308,0.465833333,0.029362438
63,17.3952,327,0.500555556,0.030240803
64,17.6717,352,0.541944444,0.031368602
65,17.9482,324,0.494583333,0.030104948
66,18.2247,313,0.470694444,0.029606147
67,18.5012,337,0.505416667,0.03072334
68,18.7777,358,0.541527778,0.031656005
69,19.0542,325,0.490277778,0.030164799
70,19.3307,318,0.481666667,0.029833644
71,19.6072,315,0.471666667,0.029705343
72,19.8837,297,0.446527778,0.028839769
73,20.1602,319,0.495555556,0.029851743
74,20.4367,306,0.471388889,0.029246584
75,20.7132,282,0.43375,0.028077893
76,20.9897,281,0.435416667,0.028020123
77,21.2662,293,0.452638889,0.028615493
78,21.5427,338,0.522777778,0.03073307
79,21.8192,318,0.492222222,0.029809063
80,22.0957,324,0.4925,0.030109753
81,22.3722,302,0.457083333,0.029074258
82,22.6487,288,0.432222222,0.028401335
83,22.9252,288,0.433055556,0.028399297
84,23.2017,284,0.437083333,0.02817665
85,23.4782,282,0.441805556,0.028057962
86,23.7547,274,0.432916667,0.027647961
87,24.0312,282,0.450555556,0.028036297
88,24.3077,286,0.454027778,0.028241614
89,24.5842,252,0.39625,0.026519778
90,24.8607,290,0.466111111,0.028424418
91,25.1372,267,0.425694444,0.027282742
92,25.4137,271,0.431666667,0.027487371
93,25.6902,261,0.413333333,0.026981647
94,25.9667,260,0.416527778,0.026917584
95,26.2432,279,0.444166667,0.027890743
96,26.5197,288,0.458194444,0.028337758
97,26.7962,287,0.460694444,0.028278474
98,27.0727,280,0.4475,0.027936353
99,27.3492,242,0.385,0.025976307
100,27.6257,277,0.440555556,0.027791663
101,27.9022,259,0.412638889,0.02687168
102,28.1787,276,0.438888889,0.027741643
103,28.4552,247,0.393611111,0.026241548
104,28.7317,244,0.386388889,0.026088199
105,29.0082,256,0.405694444,0.026721226
106,29.2847,259,0.413055556,0.026870603
107,29.5612,289,0.462638889,0.028379932
108,29.8377,263,0.421944444,0.027070866
109,30.1142,255,0.408333333,0.026657985
110,30.3907,296,0.476388889,0.028715425
111,30.6672,287,0.461388889,0.028276768
112,30.9437,286,0.457222222,0.028233757
113,31.2202,249,0.395972222,0.026349752
114,31.4967,247,0.394861111,0.02623824
115,31.7732,230,0.365694444,0.025324667
116,32.0497,247,0.394027778,0.026240445
117,32.3262,248,0.396944444,0.026290019
118,32.6027,231,0.365,0.02538591
119,32.8792,224,0.355277778,0.024994598
120,33.1557,254,0.404444444,0.026611633
121,33.4322,247,0.397222222,0.02623199
122,33.7087,225,0.359722222,0.025042402
123,33.9852,256,0.410416667,0.026708951
124,34.2617,264,0.421805556,0.027126746
125,34.5382,275,0.441527778,0.027680733
126,34.8147,267,0.426527778,0.02728062
127,35.0912,254,0.404166667,0.026612358
128,35.3677,211,0.334166667,0.024259878
129,35.6442,252,0.402777778,0.026502679
130,35.9207,235,0.371527778,0.025604196
131,36.1972,235,0.375277778,0.025594023
132,36.4737,240,0.381527778,0.025869524
133,36.7502,223,0.354166667,0.024937422
134,37.0267,239,0.383333333,0.025806438
135,37.3032,234,0.373194444,0.025540832
136,37.5797,247,0.397361111,0.026231622
137,37.8562,234,0.374583333,0.025537056
138,38.1327,216,0.343055556,0.024542889
139,38.4092,236,0.376805556,0.025648608
140,38.6857,247,0.393888889,0.026240813
141,38.9622,248,0.397361111,0.026288919
142,39.2387,246,0.392361111,0.026187462
143,39.5152,212,0.339861111,0.024305556
144,39.7917,252,0.405,0.026496855
145,40.0682,250,0.397638889,0.026402409
146,40.3447,240,0.384444444,0.025861693
147,40.6212,259,0.4175,0.026859115
148,40.8977,227,0.364166667,0.025150013
149,41.1742,276,0.445138889,0.027725993
150,41.4507,253,0.408472222,0.026544497
151,41.7272,233,0.371111111,0.02548753
152,42.0037,239,0.384444444,0.025803447
153,42.2802,237,0.380277778,0.025697823
154,42.5567,234,0.375833333,0.025533656
155,42.8332,226,0.364444444,0.025089347
156,43.1097,210,0.335138889,0.024194987
157,43.3862,235,0.374444444,0.025596284
158,43.6627,238,0.38,0.025757056
159,43.9392,228,0.365694444,0.025205559
160,44.2157,234,0.37375,0.025539322
161,44.4922,247,0.397083333,0.026232357
162,44.7687,263,0.424861111,0.027063383
163,45.0452,200,0.319166667,0.023611928
164,45.3217,225,0.359583333,0.025042787
165,45.5982,226,0.360694444,0.025099724
166,45.8747,218,0.348611111,0.02464955
167,46.1512,244,0.389444444,0.026080064
168,46.4277,205,0.328888889,0.023900191
169,46.7042,237,0.379583333,0.025699699
170,46.9807,220,0.350416667,0.024766269
171,47.2572,224,0.359861111,0.024981861
172,47.5337,232,0.368888889,0.025434496
173,47.8102,226,0.36125,0.025098187
174,48.0867,252,0.406944444,0.026491759
175,48.3632,211,0.337083333,0.024251527
176,48.6397,221,0.354861111,0.024814513
177,48.9162,217,0.345555556,0.024597061
178,49.1927,229,0.368611111,0.025257165
179,49.4692,233,0.371805556,0.025485638
180,49.7457,235,0.375416667,0.025593646
181,50.0222,239,0.385277778,0.025801205
182,50.2987,241,0.38375,0.025921668
183,50.5752,214,0.343611111,0.024418389
184,50.8517,219,0.350416667,0.024705441
185,51.1282,212,0.338055556,0.024310714
186,51.4047,219,0.351527778,0.024702317
187,51.6812,229,0.369027778,0.025256019
